"YEAR","SAMPLE","SERIAL","CBSERIAL","HHWT","CLUSTER","STRATA","GQ","PERNUM","PERWT","SEX","AGE","MARST","RACE","RACED","HCOVPRIV","EDUC","EDUCD","WKSWORK1","INCWAGE"
2022,202201,4149,2022000070313,7415.2,2022000041491,110001,1,5,30466.8,2,25,2,1,100,1,1,14,0,0
2022,202201,4310,2022000081052,15152.8,2022000043101,30001,1,1,15152.8,2,54,4,1,100,2,6,65,50,20000
2022,202201,4633,2022000103328,11606.4,2022000046331,130101,1,1,11445.2,2,57,4,1,100,2,10,101,0,0
2022,202201,4794,2022000112789,12090.0,2022000047941,230001,1,3,17248.4,2,43,6,1,100,2,7,71,52,40000
2022,202201,4955,2022000124056,6931.6,2022000049551,180201,1,1,6931.6,1,61,1,1,100,2,7,71,52,96000
2022,202201,4955,2022000124056,6931.6,2022000049551,180201,1,2,12090.0,2,49,1,2,200,2,11,114,52,100000
2022,202201,5116,2022000134295,13379.6,2022000051161,140301,1,1,13379.6,1,62,4,2,200,1,6,61,0,0
2022,202201,5278,2022000145115,7415.2,2022000052781,200001,1,1,7415.2,2,61,5,1,100,2,6,64,52,19000
2022,202201,5439,2022000155272,22406.8,2022000054391,40201,1,1,22406.8,1,64,1,2,200,2,11,114,52,107000
2022,202201,5439,2022000155272,22406.8,2022000054391,40201,1,2,23051.6,2,63,1,2,200,2,6,63,52,43000
2022,202201,5761,2022000175357,5964.4,2022000057611,230001,1,1,5964.4,2,31,1,1,100,2,6,63,35,0
2022,202201,5761,2022000175357,5964.4,2022000057611,230001,1,2,6609.2,1,34,1,1,100,2,7,71,52,50000
2022,202201,6084,2022000199065,13379.6,2022000060841,150101,1,1,13379.6,2,35,1,1,100,2,10,101,52,70000
2022,202201,6084,2022000199065,13379.6,2022000060841,150101,1,2,15152.8,1,39,1,1,100,2,6,63,52,130000
2022,202201,6245,2022000208954,9027.2,2022000062451,260001,1,1,8866.0,2,56,1,1,100,2,10,101,52,75000
2022,202201,6245,2022000208954,9027.2,2022000062451,260001,1,2,7415.2,1,60,1,1,100,2,6,61,52,115000
2022,202201,6728,2022000241043,9833.2,2022000067281,140401,1,1,9833.2,2,26,6,1,100,2,11,114,52,52000
2022,202201,6728,2022000241043,9833.2,2022000067281,140401,1,2,10800.4,2,24,6,1,100,2,10,101,52,50000
2022,202201,6890,2022000252829,34658.0,2022000068901,120201,1,1,34658.0,1,22,6,1,100,2,11,114,32,32000
2022,202201,6890,2022000252829,34658.0,2022000068901,120201,1,2,31111.6,2,22,6,1,100,2,10,101,16,0
2022,202201,7051,2022000263153,6125.6,2022000070511,60001,1,1,6286.8,2,65,1,1,100,1,6,63,0,0
2022,202201,7212,2022000273846,20311.2,2022000072121,100001,1,1,20150.0,1,64,4,1,100,2,6,63,52,26000
2022,202201,7373,2022000285718,14346.8,2022000073731,100001,1,1,14346.8,2,42,4,2,200,1,5,50,0,0
2022,202201,7534,2022000296284,80922.4,2022000075341,110001,1,1,80922.4,1,50,6,2,200,1,6,63,0,0
2022,202201,7696,2022000307896,12896.0,2022000076961,60001,1,1,12896.0,2,30,1,1,100,1,7,71,52,26000
2022,202201,7696,2022000307896,12896.0,2022000076961,60001,1,2,6609.2,2,35,1,8,802,1,7,71,52,35000
2022,202201,7857,2022000318905,39816.4,2022000078571,110001,1,1,39816.4,1,54,4,2,200,1,6,63,0,0
2022,202201,8018,2022000329861,2740.4,2022000080181,30001,1,1,2740.4,1,54,4,8,802,2,6,63,0,0
2022,202201,8018,2022000329861,2740.4,2022000080181,30001,1,2,7737.6,2,38,5,1,100,1,6,65,52,12000
2022,202201,8340,2022000352868,10155.6,2022000083401,220101,1,1,10155.6,1,36,1,1,100,2,8,81,52,60000
2022,202201,8340,2022000352868,10155.6,2022000083401,220101,1,2,12896.0,2,36,1,8,826,2,8,81,0,0
2022,202201,8502,2022000365260,8866.0,2022000085021,210101,1,1,8866.0,2,39,4,1,100,2,11,116,52,74000
2022,202201,8663,2022000377936,16764.8,2022000086631,10001,1,1,16926.0,2,52,1,2,200,2,6,63,52,21500
2022,202201,8663,2022000377936,16764.8,2022000086631,10001,1,2,8543.6,1,60,1,2,200,1,6,64,0,0
2022,202201,8824,2022000389010,9188.4,2022000088241,280301,1,1,9188.4,1,49,1,1,100,2,11,115,52,100000
2022,202201,8824,2022000389010,9188.4,2022000088241,280301,1,2,13702.0,2,45,1,1,100,2,10,101,45,0
2022,202201,8985,2022000400796,12896.0,2022000089851,240001,1,2,29499.6,1,50,4,1,100,2,10,101,52,74000
2022,202201,9630,2022000442824,17409.6,2022000096301,120101,1,1,17570.8,2,57,1,1,100,2,10,101,52,104000
2022,202201,9630,2022000442824,17409.6,2022000096301,120101,1,2,17409.6,1,63,1,1,100,2,11,116,52,89000
2022,202201,9630,2022000442824,17409.6,2022000096301,120101,1,3,66414.4,2,20,6,1,100,2,7,71,40,8000
2022,202201,9952,2022000464092,9833.2,2022000099521,250001,1,1,9833.2,2,39,4,2,200,1,6,63,12,15000
2022,202201,9952,2022000464092,9833.2,2022000099521,250001,1,2,21278.4,1,19,6,2,200,1,6,63,0,0
2022,202201,10275,2022000487983,24986.0,2022000102751,150201,1,1,24986.0,1,33,1,1,100,2,6,65,52,100000
2022,202201,10275,2022000487983,24986.0,2022000102751,150201,1,2,22568.0,2,33,1,1,100,2,7,71,52,45000
2022,202201,10436,2022000497106,8060.0,2022000104361,200001,1,1,8060.0,1,55,4,1,100,2,6,65,52,40000
2022,202201,10920,2022000532569,1128.4,2022000109201,230001,1,1,1128.4,2,54,5,1,100,2,6,63,52,26700
2022,202201,11564,2022000575161,14669.2,2022000115641,170001,1,1,14669.2,1,36,1,1,100,2,10,101,52,55000
2022,202201,11564,2022000575161,14669.2,2022000115641,170001,1,2,19988.8,2,35,1,1,100,2,11,114,52,62000
2022,202201,11726,2022000585694,35947.6,2022000117261,110001,1,1,35947.6,2,52,5,1,100,1,5,50,0,0
2022,202201,12209,2022000618738,18215.6,2022000122091,120201,1,1,18215.6,1,30,1,2,200,2,10,101,52,43000
2022,202201,12209,2022000618738,18215.6,2022000122091,120201,1,2,15797.6,2,27,1,1,100,2,11,114,52,48000
2022,202201,12370,2022000629219,32562.4,2022000123701,140201,1,1,32562.4,2,45,1,2,200,2,10,101,52,70000
2022,202201,12370,2022000629219,32562.4,2022000123701,140201,1,2,36270.0,1,44,1,2,200,2,8,81,52,170000
2022,202201,12370,2022000629219,32562.4,2022000123701,140201,1,3,22245.6,1,19,6,2,200,2,7,71,52,11000
2022,202201,12532,2022000640838,15797.6,2022000125321,50101,1,1,15958.8,1,48,1,1,100,2,7,71,52,250000
2022,202201,12532,2022000640838,15797.6,2022000125321,50101,1,2,19827.6,2,47,1,1,100,2,8,81,52,30000
2022,202201,12532,2022000640838,15797.6,2022000125321,50101,1,4,25469.6,1,21,6,1,100,2,7,71,14,5000
2022,202201,12693,2022000651032,8382.4,2022000126931,150201,1,1,8543.6,2,51,1,2,200,2,11,114,50,80000
2022,202201,12693,2022000651032,8382.4,2022000126931,150201,1,2,13863.2,1,50,1,2,200,2,6,61,52,0
2022,202201,12854,2022000663327,11606.4,2022000128541,280301,1,1,11445.2,2,54,4,1,100,2,11,115,52,170000
2022,202201,13015,2022000673362,10961.6,2022000130151,140101,1,1,11122.8,2,47,1,2,200,2,11,115,52,100000
2022,202201,13015,2022000673362,10961.6,2022000130151,140101,1,2,9349.6,1,55,1,2,200,1,11,115,52,30000
2022,202201,13499,2022000705401,3385.2,2022000134991,150201,1,1,3385.2,2,56,1,1,100,2,8,81,52,37400
2022,202201,13499,2022000705401,3385.2,2022000134991,150201,1,2,3385.2,1,59,1,1,100,2,6,63,52,33300
2022,202201,13499,2022000705401,3385.2,2022000134991,150201,1,3,19021.6,1,22,6,1,100,1,6,63,52,7000
2022,202201,13499,2022000705401,3385.2,2022000134991,150201,1,4,19021.6,1,20,6,1,100,2,6,63,52,30000
2022,202201,13499,2022000705401,3385.2,2022000134991,150201,1,5,6125.6,2,20,6,1,100,1,6,63,0,0
2022,202201,13821,2022000727699,6286.8,2022000138211,210101,1,1,6286.8,2,43,6,1,100,2,11,115,52,52000
2022,202201,14144,2022000748181,45136.0,2022000141441,170001,1,1,45136.0,1,44,1,2,200,2,6,63,52,31000
2022,202201,14144,2022000748181,45136.0,2022000141441,170001,1,2,48360.0,2,50,1,2,200,2,6,63,38,0
2022,202201,14466,2022000772189,6286.8,2022000144661,240001,1,1,6286.8,1,31,3,1,100,1,6,63,51,30000
2022,202201,14950,2022000804768,23212.8,2022000149501,140201,1,1,23374.0,2,61,4,1,100,2,6,63,52,97000
2022,202201,15111,2022000816820,18215.6,2022000151111,140401,1,1,18215.6,1,34,6,2,200,2,6,61,52,20000
2022,202201,15433,2022000839359,12090.0,2022000154331,120101,1,1,12090.0,2,32,6,2,200,1,7,71,2,0
2022,202201,15756,2022000860296,4513.6,2022000157561,250001,1,1,4513.6,2,43,1,1,100,2,6,65,0,0
2022,202201,15756,2022000860296,4513.6,2022000157561,250001,1,2,3707.6,1,43,1,1,100,2,6,61,52,6000
2022,202201,15756,2022000860296,4513.6,2022000157561,250001,1,3,7415.2,1,21,6,1,100,2,6,64,40,0
2022,202201,15917,2022000870569,11445.2,2022000159171,280301,1,1,11445.2,2,39,4,2,200,2,10,101,52,40000
2022,202201,15917,2022000870569,11445.2,2022000159171,280301,1,4,8543.6,1,59,6,2,200,2,6,63,52,36000
2022,202201,16078,2022000882126,5964.4,2022000160781,240001,1,1,6125.6,1,40,1,7,700,1,0,2,7,1600
2022,202201,16078,2022000882126,5964.4,2022000160781,240001,1,2,6286.8,2,34,1,1,100,1,0,2,0,0
2022,202201,16239,2022000892805,9510.8,2022000162391,50101,1,1,9510.8,1,51,1,1,100,2,10,101,52,110000
2022,202201,16239,2022000892805,9510.8,2022000162391,50101,1,2,7898.8,2,51,1,1,100,2,10,101,52,34000
2022,202201,16400,2022000903941,32240.0,2022000164001,40101,1,1,32240.0,2,49,1,1,100,2,10,101,52,125000
2022,202201,16400,2022000903941,32240.0,2022000164001,40101,1,2,16926.0,1,54,1,1,100,2,10,101,52,123000
2022,202201,16562,2022000914943,28210.0,2022000165621,90001,1,1,28210.0,2,35,4,1,100,1,6,63,0,0
2022,202201,16562,2022000914943,28210.0,2022000165621,90001,1,4,29660.8,1,36,2,1,100,1,5,50,0,0
2022,202201,16562,2022000914943,28210.0,2022000165621,90001,1,5,38526.8,2,21,6,1,100,1,6,63,0,0
2022,202201,16723,2022000925570,11606.4,2022000167231,280301,1,1,11445.2,1,41,1,1,100,2,7,71,52,63000
2022,202201,16723,2022000925570,11606.4,2022000167231,280301,1,2,11122.8,2,40,1,1,100,2,10,101,52,115000
2022,202201,16884,2022000937320,1934.4,2022000168841,100001,1,1,2095.6,2,34,1,1,100,2,10,101,52,6800
2022,202201,16884,2022000937320,1934.4,2022000168841,100001,1,2,2579.2,1,34,1,1,100,2,7,71,52,76000
2022,202201,17045,2022000948190,24341.2,2022000170451,280201,1,1,24502.4,1,35,6,2,200,2,10,101,52,38000
2022,202201,17206,2022000958798,48037.6,2022000172061,70001,1,1,48198.8,1,26,1,3,361,1,6,63,52,68000
2022,202201,17206,2022000958798,48037.6,2022000172061,70001,1,2,55452.8,2,29,1,3,361,1,0,2,0,0
2022,202201,17368,2022000969207,10800.4,2022000173681,150201,1,1,10800.4,2,56,2,1,100,2,10,101,52,20000
2022,202201,17690,2022000992531,31111.6,2022000176901,130101,1,1,31272.8,1,58,1,1,100,1,6,63,0,0
2022,202201,17690,2022000992531,31111.6,2022000176901,130101,1,2,29660.8,2,45,1,1,100,1,6,63,0,0
2022,202201,17851,2022001004319,9349.6,2022000178511,140401,1,1,9349.6,1,33,1,1,100,2,10,101,52,75000
2022,202201,17851,2022001004319,9349.6,2022000178511,140401,1,2,8543.6,2,32,1,1,100,2,10,101,38,13000
2022,202201,18012,2022001015203,13863.2,2022000180121,280301,1,1,13702.0,2,46,1,1,100,1,8,81,0,0
2022,202201,18012,2022001015203,13863.2,2022000180121,280301,1,2,9833.2,1,46,1,1,100,2,11,115,52,30000
2022,202201,18012,2022001015203,13863.2,2022000180121,280301,1,3,13057.2,1,18,6,1,100,1,2,26,0,0
2022,202201,18335,2022001038243,10961.6,2022000183351,280101,1,2,5642.0,2,64,1,8,802,2,8,81,0,0
2022,202201,18335,2022001038243,10961.6,2022000183351,280101,1,3,7737.6,1,31,6,8,802,2,6,61,0,0
2022,202201,18496,2022001049167,9349.6,2022000184961,190101,1,2,10155.6,2,65,1,1,100,2,10,101,0,0
2022,202201,18818,2022001069754,20150.0,2022000188181,190101,1,2,15636.4,1,64,1,1,100,2,6,65,0,0
2022,202201,18980,2022001081868,8382.4,2022000189801,60001,1,1,8382.4,2,56,1,1,100,2,6,64,52,34000
2022,202201,18980,2022001081868,8382.4,2022000189801,60001,1,2,10800.4,1,59,1,1,100,2,6,63,52,60000
2022,202201,18980,2022001081868,8382.4,2022000189801,60001,1,3,21923.2,1,35,6,1,100,1,7,71,12,8600
2022,202201,19141,2022001093800,14991.6,2022000191411,70001,1,1,14991.6,2,57,1,1,100,2,8,81,0,0
2022,202201,19141,2022001093800,14991.6,2022000191411,70001,1,2,20794.8,1,57,1,1,100,2,11,114,52,132000
2022,202201,19302,2022001105787,6770.4,2022000193021,260001,1,2,8704.8,2,65,1,2,200,2,6,63,0,0
2022,202201,19624,2022001126716,1934.4,2022000196241,260001,1,1,1934.4,2,41,1,8,826,2,8,81,52,43700
2022,202201,19624,2022001126716,1934.4,2022000196241,260001,1,2,3385.2,1,43,1,3,310,2,7,71,52,22900
2022,202201,19947,2022001148760,11767.6,2022000199471,220101,1,1,11767.6,1,51,1,1,100,2,6,65,52,129000
2022,202201,19947,2022001148760,11767.6,2022000199471,220101,1,2,12896.0,2,55,1,1,100,2,7,71,0,0
2022,202201,19947,2022001148760,11767.6,2022000199471,220101,1,3,22084.4,2,23,6,1,100,2,6,63,40,0
2022,202201,19947,2022001148760,11767.6,2022000199471,220101,1,4,22084.4,2,21,6,1,100,2,6,63,5,0
2022,202201,19947,2022001148760,11767.6,2022000199471,220101,1,5,10316.8,2,18,6,1,100,2,6,63,0,0
2022,202201,20108,2022001158990,7254.0,2022000201081,170001,1,1,7254.0,1,59,2,1,100,2,11,114,45,0
2022,202201,20108,2022001158990,7254.0,2022000201081,170001,1,2,7254.0,2,26,6,1,100,2,10,101,52,18000
2022,202201,20108,2022001158990,7254.0,2022000201081,170001,1,3,6448.0,1,22,6,1,100,2,7,71,52,25000
2022,202201,20269,2022001171078,12251.2,2022000202691,60001,1,1,12251.2,1,64,4,1,100,2,6,63,0,0
2022,202201,20430,2022001182168,4191.2,2022000204301,110001,1,1,4030.0,1,51,1,1,100,2,6,65,52,40000
2022,202201,20914,2022001216838,14669.2,2022000209141,30001,1,1,14669.2,1,38,3,1,100,2,8,81,52,80000
2022,202201,21075,2022001227830,103329.2,2022000210751,120201,1,1,103329.2,2,33,4,1,100,2,10,101,52,32000
2022,202201,21236,2022001238791,12090.0,2022000212361,200001,1,1,12251.2,1,59,4,2,200,1,7,71,0,0
2022,202201,21236,2022001238791,12090.0,2022000212361,200001,1,2,33852.0,1,28,4,2,200,2,7,71,52,40000
2022,202201,21398,2022001250140,6931.6,2022000213981,140301,1,1,6931.6,2,46,6,2,200,1,8,81,0,0
2022,202201,21398,2022001250140,6931.6,2022000213981,140301,1,2,10478.0,1,24,6,2,200,1,7,71,0,0
2022,202201,21398,2022001250140,6931.6,2022000213981,140301,1,3,8543.6,2,23,6,2,200,1,6,65,52,6000
2022,202201,21559,2022001261388,13863.2,2022000215591,160001,1,1,13863.2,2,59,1,1,100,2,10,101,0,0
2022,202201,21559,2022001261388,13863.2,2022000215591,160001,1,2,15475.2,1,61,1,1,100,2,8,81,0,0
2022,202201,21720,2022001270959,12573.6,2022000217201,280301,1,1,12573.6,1,53,2,6,640,2,6,63,52,60000
2022,202201,21720,2022001270959,12573.6,2022000217201,280301,1,2,3868.8,1,21,6,6,640,2,6,63,52,7200
2022,202201,22687,2022001337192,9833.2,2022000226871,90001,1,1,9833.2,2,62,1,1,100,2,10,101,52,38000
2022,202201,23493,2022001391510,6448.0,2022000234931,270201,1,1,6448.0,1,59,1,1,100,2,11,115,52,452000
2022,202201,23493,2022001391510,6448.0,2022000234931,270201,1,2,5642.0,2,58,1,1,100,2,10,101,0,0
2022,202201,23816,2022001413331,84307.6,2022000238161,270201,1,1,84146.4,2,47,4,1,100,1,6,63,12,0
2022,202201,24299,2022001445601,9994.4,2022000242991,220101,1,1,9994.4,2,58,6,1,100,1,6,61,52,13000
2022,202201,24460,2022010047162,11445.2,2022000244601,10202,3,1,11445.2,1,53,4,6,620,1,10,101,0,0
2022,202201,24783,2022010143542,5158.4,2022000247831,40002,4,1,5158.4,2,27,6,1,100,2,10,101,52,60000
2022,202201,24944,2022000023815,8060.0,2022000249441,20002,1,1,8221.2,2,60,1,1,100,2,6,63,0,0
2022,202201,24944,2022000023815,8060.0,2022000249441,20002,1,2,7898.8,1,61,1,1,100,2,6,63,0,0
2022,202201,25105,2022000116793,44007.6,2022000251051,10202,1,1,44007.6,2,45,4,8,830,2,7,71,52,45000
2022,202201,25266,2022000219176,126219.6,2022000252661,10202,1,1,126219.6,1,37,3,1,100,2,6,65,52,50000
2022,202201,25428,2022000327585,35141.6,2022000254281,20002,1,1,35302.8,1,42,4,1,100,2,6,63,52,78000
2022,202201,25589,2022000436240,6286.8,2022000255891,40002,1,1,6286.8,1,36,1,1,100,2,7,71,5,230
2022,202201,25589,2022000436240,6286.8,2022000255891,40002,1,2,8060.0,2,37,1,1,100,1,7,71,0,0
2022,202201,25911,2022000629330,14669.2,2022000259111,40002,1,1,14669.2,2,63,4,6,620,1,0,2,50,0
2022,202201,26072,2022000723238,4997.2,2022000260721,40002,1,1,5158.4,1,28,6,3,379,1,6,61,15,27300
2022,202201,26234,2022000828866,40944.8,2022000262341,20002,1,1,41106.0,1,39,6,1,100,1,6,63,52,113000
2022,202201,26395,2022000915479,12573.6,2022000263951,20002,1,1,12734.8,2,37,2,1,100,2,7,71,40,14000
2022,202201,26395,2022000915479,12573.6,2022000263951,20002,1,6,19666.4,1,42,2,1,100,2,8,81,52,76000
2022,202201,26556,2022001012683,37237.2,2022000265561,10202,1,1,37237.2,2,45,1,1,100,2,10,101,52,65000
2022,202201,26556,2022001012683,37237.2,2022000265561,10202,1,2,31595.2,1,50,1,1,100,2,11,116,52,111000
2022,202201,26717,2022001108084,9349.6,2022000267171,40002,1,1,9349.6,1,32,6,1,100,1,10,101,26,0
2022,202201,26878,2022001209415,14185.6,2022000268781,20002,1,1,14185.6,1,42,6,1,100,1,8,81,44,50000
2022,202201,27040,2022001307129,8866.0,2022000270401,20002,1,1,8866.0,2,62,1,1,100,1,4,40,52,14000
2022,202201,27040,2022001307129,8866.0,2022000270401,20002,1,2,6931.6,1,61,1,8,802,1,4,40,51,2000
2022,202201,27040,2022001307129,8866.0,2022000270401,20002,1,3,9994.4,2,23,6,8,826,1,4,40,0,0
2022,202201,27040,2022001307129,8866.0,2022000270401,20002,1,4,8704.8,1,21,6,8,826,1,4,40,0,0
2022,202201,27040,2022001307129,8866.0,2022000270401,20002,1,5,5158.4,2,18,6,8,826,1,5,50,52,4000
2022,202201,27201,2022001395843,11606.4,2022000272011,20002,1,1,11767.6,1,61,1,1,100,2,6,65,0,0
2022,202201,27201,2022001395843,11606.4,2022000272011,20002,1,2,7898.8,2,62,1,1,100,2,6,65,0,0
2022,202201,27362,2022010003962,6448.0,2022000273621,12604,4,1,6448.0,1,20,6,1,100,2,7,71,4,2500
2022,202201,27523,2022010012005,6609.2,2022000275231,100004,4,1,6609.2,2,21,6,7,700,2,6,61,2,13900
2022,202201,27684,2022010020164,10639.2,2022000276841,11204,4,1,10639.2,1,60,4,8,801,1,11,115,0,0
2022,202201,27846,2022010027647,8382.4,2022000278461,12004,3,1,8382.4,2,54,6,1,100,1,11,114,0,0
2022,202201,28007,2022010035300,9672.0,2022000280071,190904,4,1,9672.0,1,31,6,1,100,2,10,101,52,25300
2022,202201,28168,2022010043944,7415.2,2022000281681,12504,4,1,7415.2,2,18,6,1,100,2,6,65,52,12000
2022,202201,28329,2022010052436,9188.4,2022000283291,80504,3,1,9188.4,1,25,3,2,200,1,5,50,32,30000
2022,202201,28490,2022010059718,7576.4,2022000284901,13204,3,1,7576.4,2,24,6,7,700,1,2,23,26,20
2022,202201,28813,2022010075964,6286.8,2022000288131,40004,3,1,6286.8,2,48,6,1,100,1,6,63,0,0
2022,202201,28974,2022010083163,9349.6,2022000289741,50004,4,1,9349.6,1,19,6,1,100,2,7,71,0,0
2022,202201,29458,2022010106188,3224.0,2022000294581,10704,4,1,3224.0,1,56,2,5,500,1,6,63,0,0
2022,202201,29941,2022010128693,8382.4,2022000299411,40004,3,1,8382.4,1,28,6,7,700,1,2,25,32,30000
2022,202201,30264,2022010143887,13379.6,2022000302641,11804,4,1,13379.6,1,52,6,2,200,1,11,114,3,2700
2022,202201,30425,2022010151598,16764.8,2022000304251,10204,4,1,16764.8,1,55,6,1,100,1,0,2,0,0
2022,202201,30586,2022010159845,6448.0,2022000305861,80504,3,1,6448.0,1,35,2,1,100,1,7,71,32,30000
2022,202201,30747,2022010167756,8543.6,2022000307471,190904,4,1,8543.6,1,24,6,1,100,2,6,63,52,24000
2022,202201,30908,2022010175797,1934.4,2022000309081,250304,4,1,1934.4,1,45,6,7,700,2,6,63,20,4300
2022,202201,31070,2022000001355,40138.8,2022000310701,12104,1,1,40138.8,2,35,1,8,826,2,8,81,52,50000
2022,202201,31070,2022000001355,40138.8,2022000310701,12104,1,2,41106.0,1,38,1,8,826,2,10,101,52,80000
2022,202201,31231,2022000009363,30305.6,2022000312311,13104,1,1,30305.6,2,35,1,1,100,2,6,63,52,60000
2022,202201,31231,2022000009363,30305.6,2022000312311,13104,1,2,40783.6,1,43,1,8,801,2,6,64,52,50000
2022,202201,31231,2022000009363,30305.6,2022000312311,13104,1,6,29499.6,2,61,6,1,100,2,6,63,0,0
2022,202201,31231,2022000009363,30305.6,2022000312311,13104,1,7,29016.0,1,30,6,2,200,2,10,101,0,0
2022,202201,31392,2022000017802,38365.6,2022000313921,90004,1,1,38204.4,2,51,4,1,100,2,10,101,52,43000
2022,202201,31392,2022000017802,38365.6,2022000313921,90004,1,2,84630.0,1,20,6,1,100,2,6,63,52,22000
2022,202201,31553,2022000026114,18054.4,2022000315531,10904,1,1,18215.6,1,20,6,8,811,2,7,71,0,0
2022,202201,31876,2022000042389,9510.8,2022000318761,10504,1,1,9510.8,2,58,1,8,826,2,11,115,52,70000
2022,202201,31876,2022000042389,9510.8,2022000318761,10504,1,2,9672.0,1,60,1,1,100,2,8,81,52,518000
2022,202201,32037,2022000050338,23212.8,2022000320371,110104,1,1,23374.0,1,29,1,1,100,2,7,71,52,45000
2022,202201,32037,2022000050338,23212.8,2022000320371,110104,1,2,15797.6,2,34,1,1,100,2,6,65,0,0
2022,202201,32198,2022000058174,16926.0,2022000321981,10804,1,1,16926.0,2,63,1,1,100,2,6,64,35,0
2022,202201,32520,2022000073765,6609.2,2022000325201,11404,1,3,7898.8,1,34,6,1,100,1,6,63,52,70000
2022,202201,32682,2022000080881,15636.4,2022000326821,90004,1,1,15475.2,2,45,1,8,826,2,6,64,52,40000
2022,202201,32682,2022000080881,15636.4,2022000326821,90004,1,2,23535.2,1,48,1,1,100,2,6,63,52,40000
2022,202201,33004,2022000096118,19666.4,2022000330041,11204,1,1,19666.4,1,49,6,1,100,2,10,101,52,518000
2022,202201,33165,2022000105098,37720.8,2022000331651,190404,1,1,37720.8,2,45,3,8,826,2,11,114,52,95000
2022,202201,33326,2022000113653,31111.6,2022000333261,80304,1,1,30950.4,1,48,1,1,100,2,11,114,52,83000
2022,202201,33326,2022000113653,31111.6,2022000333261,80304,1,2,19666.4,2,46,1,1,100,2,11,114,52,45000
2022,202201,33326,2022000113653,31111.6,2022000333261,80304,1,3,28693.6,2,23,6,1,100,2,7,71,52,30000
2022,202201,33326,2022000113653,31111.6,2022000333261,80304,1,4,28854.8,2,20,6,1,100,2,7,71,48,10900
2022,202201,33649,2022000131134,8704.8,2022000336491,80704,1,1,8704.8,2,46,1,1,100,2,7,71,52,25000
2022,202201,33649,2022000131134,8704.8,2022000336491,80704,1,2,8543.6,1,62,1,1,100,2,10,101,52,25000
2022,202201,33810,2022000138845,9188.4,2022000338101,10204,1,1,9188.4,2,35,1,1,100,1,10,101,52,38000
2022,202201,33810,2022000138845,9188.4,2022000338101,10204,1,2,8866.0,1,37,1,1,100,1,10,101,52,53000
